,fluorophore,site,sample.type,substrate,replicate,slope,int,slope.se,int.se,pval,rsq,n,calib.slope,v0,v0.se
367,AMC,second creek,whole,Pyr-AMC,3,1105.702326,140233.67,NA,NA,NA,1,2,1077.287015,1.026376732,NA
368,AMC,second creek,whole,Pyr-AMC,k,-204.7953488,144197.17,NA,NA,NA,1,2,1077.287015,-0.190102866,NA
369,AMC,second creek,whole,Arg-AMC,3,24162.37674,128234.17,NA,NA,NA,1,2,1077.287015,22.42891301,NA
370,AMC,second creek,whole,Leu-AMC,1,30115.17209,141584.17,NA,NA,NA,1,2,1077.287015,27.95464131,NA
371,AMC,second creek,whole,Leu-AMC,2,33693.33488,142523.18,NA,NA,NA,1,2,1077.287015,31.27609858,NA
372,AMC,second creek,whole,Leu-AMC,3,32614.67442,141960.46,NA,NA,NA,1,2,1077.287015,30.27482367,NA
373,AMC,second creek,whole,GGR-AMC,1,69122.4,270756.31,NA,NA,NA,1,2,1077.287015,64.16340217,NA
374,AMC,second creek,whole,GGR-AMC,2,77268.73953,289691.75,NA,NA,NA,1,2,1077.287015,71.72530482,NA
375,AMC,second creek,whole,GGR-AMC,3,66150.87907,279187.93,NA,NA,NA,1,2,1077.287015,61.4050649,NA
376,AMC,second creek,whole,GGR-AMC,k,-425.3860465,191385,NA,NA,NA,1,2,1077.287015,-0.394867886,NA
377,AMC,volunteer landing,filter,Arg-AMC,1,2969.804651,102974.64,NA,NA,NA,1,2,1063.20883,2.79324679,NA
378,AMC,volunteer landing,filter,Arg-AMC,2,1633.004651,102048.69,NA,NA,NA,1,2,1063.20883,1.535920889,NA
379,AMC,volunteer landing,filter,Arg-AMC,3,2412.460465,102356.48,NA,NA,NA,1,2,1063.20883,2.269037274,NA
380,AMC,volunteer landing,filter,Arg-AMC,k,-1358.190698,98039.46,NA,NA,NA,1,2,1063.20883,-1.2774449,NA
381,AMC,volunteer landing,filter,Leu-AMC,2,24224.5814,129723.67,NA,NA,NA,1,2,1063.20883,22.78440576,NA
382,AMC,volunteer landing,filter,Leu-AMC,3,23340.29302,125171.64,NA,NA,NA,1,2,1063.20883,21.95268922,NA
383,AMC,volunteer landing,filter,Leu-AMC,k,149.1209302,106412.64,NA,NA,NA,1,2,1063.20883,0.140255542,NA
384,AMC,volunteer landing,filter,GGR-AMC,2,788.2744186,188800.96,NA,NA,NA,1,2,1063.20883,0.741410715,NA
385,AMC,volunteer landing,filter,Gly-AMC,1,7903.325581,174326.01,NA,NA,NA,1,2,1063.20883,7.433464959,NA
386,AMC,volunteer landing,filter,Gly-AMC,2,3700.297674,197747.35,NA,NA,NA,1,2,1063.20883,3.480311271,NA
387,AMC,volunteer landing,filter,Gly-AMC,3,5489.190698,190601.43,NA,NA,NA,1,2,1063.20883,5.162852812,NA
388,AMC,volunteer landing,filter,Gly-AMC,k,-1813.897674,184568.6,NA,NA,NA,1,2,1063.20883,-1.706059641,NA
389,AMC,volunteer landing,filter,Pyr-AMC,2,-859.1302326,155359.6,NA,NA,NA,1,2,1063.20883,-0.80805408,NA
390,AMC,volunteer landing,filter,Pyr-AMC,3,-200.5116279,154737.34,NA,NA,NA,1,2,1063.20883,-0.188591011,NA
391,AMC,volunteer landing,filter,Pyr-AMC,k,-1320.390698,152149.78,NA,NA,NA,1,2,1063.20883,-1.241892148,NA
392,AMC,volunteer landing,filter,GGR-AMC,1,-2470.813953,192155.87,NA,NA,NA,1,2,1063.20883,-2.323921589,NA
393,AMC,volunteer landing,filter,Leu-AMC,1,24739.3814,137777.4,NA,NA,NA,1,2,1063.20883,23.26860039,NA
