treatment,sub,rep,rfu,time,date,day ,exp.time,exp.date,fluorophore
D,2,2,193774.46,13:13,2/10/17,3,11:32,2/10/17,AMC
D,3,2,196868.34,13:13,2/10/17,3,11:32,2/10/17,AMC
B,3,1,115893.65,12:22,2/22/17,15,9:41,2/22/17,AMC
B,3,1,115895,13:09,2/10/17,3,11:32,2/10/17,AMC
C,1,2,116003.04,13:10,2/8/17,1,11:22,2/8/17,AMC
F,3,1,116123.22,11:17,2/20/17,13,11:01,2/20/17,AMC
C,3,3,116129.89,12:31,2/8/17,1,11:22,2/8/17,AMC
C,3,1,116148.77,13:12,2/9/17,2,10:44,2/9/17,AMC
C,2,3,116210.1,13:11,2/10/17,3,11:32,2/10/17,AMC
C,3,2,116259.16,10:04,2/15/17,8,9:58,2/15/17,AMC
B,1,3,116259.68,13:07,2/8/17,1,11:22,2/8/17,AMC
F,3,2,116314.93,12:35,2/10/17,3,11:32,2/10/17,AMC
C,1,3,116399.9,13:10,2/10/17,3,11:32,2/10/17,AMC
D,1,2,116400.8,13:13,2/8/17,1,11:22,2/8/17,AMC
C,3,1,116495.76,11:19,2/13/17,6,10:08,2/13/17,AMC
E,2,1,116538.57,12:24,2/15/17,8,9:58,2/15/17,AMC
C,2,1,116642.79,13:33,2/10/17,3,11:32,2/10/17,AMC
C,2,2,116693.47,12:21,2/15/17,8,9:58,2/15/17,AMC
B,3,2,116726.82,12:47,2/9/17,2,10:44,2/9/17,AMC
F,3,3,116769.57,10:11,2/15/17,8,9:58,2/15/17,AMC
B,3,2,117036.55,12:29,2/8/17,1,11:22,2/8/17,AMC
A,1,2,117052.32,11:34,2/20/17,13,11:01,2/20/17,AMC
D,3,1,117178.89,10:42,2/15/17,8,9:58,2/15/17,AMC
B,3,3,117372.59,13:09,2/10/17,3,11:32,2/10/17,AMC
C,3,3,117579.03,10:04,2/15/17,8,9:58,2/15/17,AMC
C,3,1,117619.93,11:37,2/20/17,13,11:01,2/20/17,AMC
D,1,1,117657.18,13:13,2/9/17,2,10:44,2/9/17,AMC
C,3,3,117667.89,13:13,2/9/17,2,10:44,2/9/17,AMC
E,3,2,117760.38,11:24,2/13/17,6,10:08,2/13/17,AMC
D,3,3,117840.48,12:07,2/8/17,1,11:22,2/8/17,AMC
E,3,1,117961.68,11:57,2/9/17,2,10:44,2/9/17,AMC
D,2,2,118025.28,12:22,2/15/17,8,9:58,2/15/17,AMC
D,3,1,118118.66,12:52,2/9/17,2,10:44,2/9/17,AMC
F,3,3,118193.7,10:46,2/15/17,8,9:58,2/15/17,AMC
E,3,2,118209.14,10:08,2/15/17,8,9:58,2/15/17,AMC
B,3,3,118220.23,12:29,2/8/17,1,11:22,2/8/17,AMC
F,2,2,118259.54,11:18,2/20/17,13,11:01,2/20/17,AMC
D,1,3,118383.17,13:13,2/8/17,1,11:22,2/8/17,AMC
D,1,2,118430.04,13:14,2/9/17,2,10:44,2/9/17,AMC
B,1,1,118548.82,13:07,2/8/17,1,11:22,2/8/17,AMC
C,1,3,118631.94,13:11,2/9/17,2,10:44,2/9/17,AMC
B,2,2,118806.24,12:23,2/22/17,15,9:41,2/22/17,AMC
B,3,2,118831.72,10:01,2/15/17,8,9:58,2/15/17,AMC
E,1,3,118844.18,13:14,2/10/17,3,11:32,2/10/17,AMC
C,3,1,118885.62,10:32,2/22/17,15,9:41,2/22/17,AMC
E,3,3,118940.57,10:09,2/15/17,8,9:58,2/15/17,AMC
C,3,2,118955.89,10:32,2/22/17,15,9:41,2/22/17,AMC
A,2,2,118963.95,11:33,2/10/17,3,11:32,2/10/17,AMC
A,3,2,119148.67,11:59,2/8/17,1,11:22,2/8/17,AMC
F,3,3,119232.96,12:25,2/15/17,8,9:58,2/15/17,AMC
E,3,3,119249.44,13:17,2/8/17,1,11:22,2/8/17,AMC
E,2,2,119363.98,10:56,2/9/17,2,10:44,2/9/17,AMC
D,3,2,119446.27,12:33,2/8/17,1,11:22,2/8/17,AMC
F,3,1,119460.52,12:07,2/20/17,13,11:01,2/20/17,AMC
E,3,2,119538.3,13:18,2/9/17,2,10:44,2/9/17,AMC
F,3,3,119581.36,12:19,2/22/17,15,9:41,2/22/17,AMC
E,3,3,119621.82,13:18,2/9/17,2,10:44,2/9/17,AMC
E,3,2,119647.5,13:11,2/20/17,13,11:01,2/20/17,AMC
F,3,3,119708.45,11:28,2/15/17,8,9:58,2/15/17,AMC
E,3,2,119717.8,12:16,2/22/17,15,9:41,2/22/17,AMC
F,3,1,119744.98,11:44,2/20/17,13,11:01,2/20/17,AMC
F,2,2,119894.35,13:39,2/10/17,3,11:32,2/10/17,AMC
B,2,1,119985.75,13:08,2/10/17,3,11:32,2/10/17,AMC
C,2,3,120098.16,13:33,2/10/17,3,11:32,2/10/17,AMC
E,1,3,120106.22,13:16,2/8/17,1,11:22,2/8/17,AMC
C,3,1,120223.54,10:03,2/15/17,8,9:58,2/15/17,AMC
D,3,3,120267.56,9:47,2/22/17,15,9:41,2/22/17,AMC
F,2,3,120271.43,11:47,2/20/17,13,11:01,2/20/17,AMC
D,3,2,120353.75,10:42,2/15/17,8,9:58,2/15/17,AMC
B,1,3,120383.91,13:08,2/10/17,3,11:32,2/10/17,AMC
E,2,3,120539.04,12:33,2/10/17,3,11:32,2/10/17,AMC
B,3,2,120628.1,10:31,2/22/17,15,9:41,2/22/17,AMC
F,3,1,120648.16,12:18,2/22/17,15,9:41,2/22/17,AMC
