"","fluorophore","site","sample.type","substrate","replicate","slope","int","slope.se","int.se","pval","rsq","n","calib.slope","v0","v0.se"
"87","MUB","third creek","filter","MUB-Phos","3",2202.11739130435,42192.4,NA,NA,NA,1,2,31.367805,70.203107654627,NA
"88","MUB","third creek","filter","MUB-Phos","k",NA,39688.24,NA,NA,NA,0,1,31.367805,NA,NA
"89","MUB","third creek","whole","MUB-gluco","1",1235.44,2801.65,NA,NA,NA,1,2,41.1064,30.0546873479555,NA
"90","MUB","third creek","whole","MUB-gluco","2",1865.1,4009.95,NA,NA,NA,1,2,41.1064,45.372496740167,NA
"91","MUB","third creek","whole","MUB-gluco","3",1289.26956521739,3214.38,NA,NA,NA,1,2,41.1064,31.3642052142097,NA
"92","MUB","third creek","whole","MUB-gluco","k",-10.1733333333334,1558.82,NA,NA,NA,1,2,41.1064,-0.247487820225887,NA
"93","MUB","third creek","whole","MUB-Phos","1",2111.17826086957,44669.46,NA,NA,NA,1,2,41.1064,51.3588701727607,NA
"94","MUB","third creek","whole","MUB-Phos","2",2056.76,43741.56,NA,NA,NA,1,2,41.1064,50.0350310413951,NA
"95","MUB","third creek","whole","MUB-Phos","3",2450.98666666668,41204.77,NA,NA,NA,1,2,41.1064,59.6254273462691,NA
"96","MUB","third creek","whole","MUB-Phos","k",-235.004347826075,37501.93,NA,NA,NA,1,2,41.1064,-5.71697710882185,NA
"97","MUB","victor ashe","filter","MUB-gluco","1",2744.11304347826,6915.15,NA,NA,NA,1,2,61.999405,44.2603125542618,NA
"98","MUB","victor ashe","filter","MUB-gluco","2",2536.62666666667,6557.55,NA,NA,NA,1,2,61.999405,40.9137259731229,NA
"99","MUB","victor ashe","filter","MUB-gluco","3",2563.73333333333,6442.14,NA,NA,NA,1,2,61.999405,41.3509344699894,NA
"100","MUB","victor ashe","filter","MUB-gluco","k",-41.3733333333338,4939.22,NA,NA,NA,1,2,61.999405,-0.667318232059384,NA
"101","MUB","victor ashe","filter","MUB-Phos","1",5732.34666666668,45866.31,NA,NA,NA,1,2,61.999405,92.4580916005029,NA
"102","MUB","victor ashe","filter","MUB-Phos","2",6531.81333333335,46325.69,NA,NA,NA,1,2,61.999405,105.352839004396,NA
"103","MUB","victor ashe","filter","MUB-Phos","3",5837.89565217392,47512.01,NA,NA,NA,1,2,61.999405,94.160510930289,NA
"104","MUB","victor ashe","filter","MUB-Phos","k",-258.679999999996,43330.47,NA,NA,NA,1,2,61.999405,-4.17229810511884,NA
"105","MUB","victor ashe","whole","MUB-gluco","1",3921.32,8757.02,NA,NA,NA,1,2,135.90122,28.8541927732511,NA
"106","MUB","victor ashe","whole","MUB-gluco","2",4242.22173913043,9454.12,NA,NA,NA,1,2,135.90122,31.2154794425718,NA
"107","MUB","victor ashe","whole","MUB-gluco","3",3831.72,9881.97,NA,NA,NA,1,2,135.90122,28.1948903769959,NA
"108","MUB","victor ashe","whole","MUB-gluco","k",-9.47999999999759,5129.47,NA,NA,NA,1,2,135.90122,-0.0697565481751936,NA
"109","MUB","victor ashe","whole","MUB-Phos","1",10204.2391304348,52270.42,NA,NA,NA,1,2,135.90122,75.0857065921468,NA
"110","MUB","victor ashe","whole","MUB-Phos","2",9163.97333333334,53997.68,NA,NA,NA,1,2,135.90122,67.4311336817531,NA
"111","MUB","victor ashe","whole","MUB-Phos","3",5195.04000000002,49210.61,NA,NA,NA,1,2,135.90122,38.2265884000159,NA
"112","MUB","victor ashe","whole","MUB-Phos","k",-1390.16086956521,39907.41,NA,NA,NA,1,2,135.90122,-10.2292008089789,NA
"113","AMC","clinch river","filter","Arg-AMC","1",4427.25333333334,94335.32,NA,NA,NA,1,2,1404.958165,3.15116381656342,NA
"114","AMC","clinch river","filter","Arg-AMC","2",4413.00000000004,93645.64,NA,NA,NA,1,2,1404.958165,3.14101879325356,NA
"115","AMC","clinch river","filter","Arg-AMC","3",4634.86666666664,92970,NA,NA,NA,1,2,1404.958165,3.29893571362436,NA
"116","AMC","clinch river","filter","Arg-AMC","k",-277.533333333327,85594.09,NA,NA,NA,1,2,1404.958165,-0.197538503456668,NA
"117","AMC","clinch river","filter","Leu-AMC","2",17674.2666666667,106767.44,NA,NA,NA,1,2,1404.958165,12.5799238062485,NA
"118","AMC","clinch river","filter","Leu-AMC","3",18752.28,115009.89,NA,NA,NA,1,2,1404.958165,13.3472159293797,NA
"119","AMC","clinch river","filter","Leu-AMC","k",-515.91999999998,93235.46,NA,NA,NA,1,2,1404.958165,-0.367213781059438,NA
"120","AMC","clinch river","filter","GGR-AMC","2",6759.24545454544,194656.95,NA,NA,NA,1,2,1404.958165,4.81099410852952,NA
"121","AMC","clinch river","filter","Gly-AMC","1",4840.7066666667,154537.73,NA,NA,NA,1,2,1404.958165,3.44544541414633,NA
"122","AMC","clinch river","filter","Gly-AMC","2",5807.5466666667,150688.57,NA,NA,NA,1,2,1404.958165,4.13360825350034,NA
